时间(s),X坐标(m),Y坐标(m)
655.3,0.399209378,51.40822402
655.55,-2.899267616,60.5766072
655.8,-7.825155818,68.86795998
656.05,-6.513531519,68.88085767
656.3,-2.35187992,53.79669121
656.55,-0.610243378,65.18790045
656.8,-4.89093171,61.84585957
657.05,-2.27924133,67.96120212
657.3,-6.836981303,69.55343545
657.55,-12.7199453,67.53699007
657.8,-11.89898284,59.5520152
658.05,-7.759194879,65.38106294
658.3,-5.886594714,60.69139134
658.55,-14.26688264,63.51951135
658.8,-15.85437806,58.29280798
659.05,-13.38568658,60.05699975
659.3,-14.56491147,67.34365339
659.55,-19.10680503,65.55363087
659.8,-13.41877138,58.70649047
660.05,-17.4337271,61.58960352
660.3,-21.88968055,65.2901468
660.55,-15.55350967,60.65621975
660.8,-12.79293821,62.9915938
661.05,-14.86009866,63.57431231
661.3,-19.56258795,62.73921704
661.55,-20.057494,60.41313977
661.8,-9.524866333,59.56819457
662.05,-30.61100976,51.79767337
662.3,-26.27453128,57.54052189
662.55,-25.42581399,57.38067984
662.8,-23.71204057,58.56151268
663.05,-27.08616386,60.0431993
663.3,-24.35628368,63.76983505
663.55,-24.53520069,59.7146781
663.8,-19.96330152,61.90006656
664.05,-27.17750459,57.45115216
664.3,-25.52950981,54.71026385
664.55,-31.11699891,54.38559225
664.8,-30.6852653,56.9797596
665.05,-23.57846167,62.50306198
665.3,-23.58371263,61.49632668
665.55,-18.37678718,57.72721137
665.8,-33.18451309,55.47046469
666.05,-26.96577954,56.50845936
666.3,-32.23329925,58.30374237
666.55,-30.47514658,47.64030087
666.8,-30.27125932,60.22172259
667.05,-32.80487854,55.0279484
667.3,-20.20815926,53.66549735
667.55,-24.9199365,58.74004636
667.8,-28.19787911,55.51755926
668.05,-28.59683001,57.71691525
668.3,-27.28795027,49.3401941
668.55,-24.07659558,52.64185016
668.8,-35.84639469,50.84007736
669.05,-30.33454114,53.45395862
669.3,-37.58929006,51.72368326
669.55,-33.6471369,56.85960963
669.8,-32.21841299,52.72812092
670.05,-32.74974469,52.16518397
670.3,-32.97144607,50.67734555
670.55,-28.61339095,52.6546264
670.8,-31.07639649,48.29075229
671.05,-27.98052026,59.22100576
671.3,-39.59314401,47.78066677
671.55,-37.26073798,57.51291356
671.8,-44.58817242,47.72630015
672.05,-37.44860191,56.32450588
672.3,-36.24448431,47.44985351
672.55,-46.98509522,43.3145606
672.8,-49.9413146,43.25455642
673.05,-51.40120195,54.65567419
